2019/08/28 11:24:22.330 o.s.j.e.a.AnnotationMBeanExporter [] INFO  Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2019/08/28 11:24:22.350 o.a.coyote.http11.Http11NioProtocol [] INFO  Initializing ProtocolHandler ["http-nio-9090"]
2019/08/28 11:24:22.360 o.a.coyote.http11.Http11NioProtocol [] INFO  Starting ProtocolHandler ["http-nio-9090"]
2019/08/28 11:24:22.380 o.a.tomcat.util.net.NioSelectorPool [] INFO  Using a shared selector for servlet write/read
2019/08/28 11:24:22.402 o.s.b.c.e.t.TomcatEmbeddedServletContainer [] INFO  Tomcat started on port(s): 9090 (http)
2019/08/28 11:24:22.407 c.springboot.test.shiro.Application [] INFO  Started Application in 9.243 seconds (JVM running for 12.997)
2019/08/28 11:24:38.456 o.a.c.c.C.[Tomcat].[localhost].[/] [] INFO  Initializing Spring FrameworkServlet 'dispatcherServlet'
2019/08/28 11:24:38.456 o.s.web.servlet.DispatcherServlet [] INFO  FrameworkServlet 'dispatcherServlet': initialization started
2019/08/28 11:24:38.508 o.s.web.servlet.DispatcherServlet [] INFO  FrameworkServlet 'dispatcherServlet': initialization completed in 52 ms
2019/08/28 11:24:38.532 o.a.s.s.m.AbstractValidatingSessionManager [] INFO  Enabling session validation scheduler...
2019/08/28 11:24:38.535 o.a.s.cache.ehcache.EhCacheManager [] INFO  Using existing EHCache named [shiro-activeSessionCache]
2019/08/28 11:24:38.619 org.thymeleaf.TemplateEngine [] INFO  [THYMELEAF] INITIALIZING TEMPLATE ENGINE
2019/08/28 11:24:38.681 o.t.t.AbstractTemplateResolver [] INFO  [THYMELEAF] INITIALIZING TEMPLATE RESOLVER: org.thymeleaf.spring4.templateresolver.SpringResourceTemplateResolver
2019/08/28 11:24:38.681 o.t.t.AbstractTemplateResolver [] INFO  [THYMELEAF] TEMPLATE RESOLVER INITIALIZED OK
2019/08/28 11:24:38.682 o.t.m.AbstractMessageResolver [] INFO  [THYMELEAF] INITIALIZING MESSAGE RESOLVER: org.thymeleaf.spring4.messageresolver.SpringMessageResolver
2019/08/28 11:24:38.682 o.t.m.AbstractMessageResolver [] INFO  [THYMELEAF] MESSAGE RESOLVER INITIALIZED OK
2019/08/28 11:24:38.710 org.thymeleaf.TemplateEngine [] INFO  [THYMELEAF] TEMPLATE ENGINE INITIALIZED
2019/08/28 11:29:17.440 o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext [] INFO  Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@68dc098b: startup date [Wed Aug 28 11:24:14 CST 2019]; root of context hierarchy
2019/08/28 11:29:17.442 o.s.j.e.a.AnnotationMBeanExporter [] INFO  Unregistering JMX-exposed beans on shutdown
2019/08/28 11:29:17.446 o.s.j.e.a.AnnotationMBeanExporter [] INFO  Unregistering JMX-exposed beans
2019/08/28 11:29:17.451 o.a.s.s.m.AbstractValidatingSessionManager [] INFO  Disabled session validation scheduler.
2019/08/28 11:29:17.490 c.a.druid.pool.DruidDataSource [] INFO  {dataSource-1} closed
